Reference, Count, Speakers
Haggai 1:5  7,1,['Elder David A. Bednar']
Teachings of Presidents of the Church: George Albert Smith,2,['Elder William K. Jackson', 'Elder William K. Jackson']
Building Zion,1,['President Henry B. Eyring']
Acts 5:34,1,['Elder Dale G. Renlund']
Mosiah 23:7,1,['Elder Dale G. Renlund']
Moses 7:13–18,1,['Elder Dieter F. Uchtdorf']
All Is Safely Gathered In ,1,['Bishop W. Christopher Waddell']
Psalm 55:4–6,1,['Elder Matthew S. Holland']
Grace,1,['Elder Scott D. Whiting']
Acts 1:9–11,1,['Elder Neil L. Andersen']
Mosiah 3:8,1,['Lisa L. Harkness']
Preach My Gospel,1,['Elder Scott D. Whiting']
Ephesians 3:20,1,['Elder Matthew S. Holland']
Mosiah 4:9,1,['Becky Craven']
Genesis 32:30,1,['President Russell M. Nelson']
An Especially Noble Calling,1,['Bishop W. Christopher Waddell']
Matthew 6:9–13,1,['President M. Russell Ballard']
1 Samuel 13:14,1,['Elder Ulisses Soares']
Ephesians 2:8,1,['Elder Dale G. Renlund']
Moroni 9:13–14,1,['Elder Quentin L. Cook']
Doctrine and Covenants 88:91,2,['Elder Scott D. Whiting', 'President M. Russell Ballard']
Doctrine and Covenants 105:6,1,['Elder David A. Bednar']
Jacob 5:66,1,['Sharon Eubank']
Matthew 5:11–12,1,['Elder Neil L. Andersen']
Face the Future with Faith,1,['Lisa L. Harkness']
Alma 49:5,2,['President Russell M. Nelson', 'President Russell M. Nelson']
1 John 5:2,1,['Elder Quentin L. Cook']
Doctrine and Covenants 42:61,1,['President Russell M. Nelson']
1 Nephi 1:1,1,['Elder Gary E. Stevenson']
Matthew 24:6  7,1,['President M. Russell Ballard']
Doctrine and Covenants 101:22,1,['Elder David A. Bednar']
Joseph Smith﻿—History 1:33–34,1,['Elder Gerrit W. Gong']
John 17:21,2,['Elder Quentin L. Cook', 'Sharon Eubank']
President Nelson Talks about the ‘Painful’ Decision to Close Temples amid COVID-19,1,['Elder Ronald A. Rasband']
Finding the Road to Character,1,['Michelle D. Craig']
1 Corinthians 15:29,1,['Elder Gerrit W. Gong']
Alma 14:1,1,['Elder Gary E. Stevenson']
Teachings of Presidents of the Church: Joseph Smith,4,['Elder Gerrit W. Gong', 'President Henry B. Eyring', 'President Russell M. Nelson', 'President Russell M. Nelson']
Mosiah 3:19,1,['President Russell M. Nelson']
Philippians 4:1,1,['Elder Ulisses Soares']
School Thy Feelings  O My Brother,1,['President Dallin H. Oaks']
Mark 9:7,1,['Elder Neil L. Andersen']
Doctrine and Covenants 98:14,1,['Elder David A. Bednar']
Come  Follow Me﻿—For Individuals and Families: Book of Mormon 2020,1,['Milton Camargo']
Drawing the Power of Jesus Christ into Our Lives,2,['Elder Neil L. Andersen', 'Elder Neil L. Andersen']
Missionary Work: Sharing What Is in Your Heart,1,['Elder Neil L. Andersen']
4 Nephi 1:15,2,['Elder Quentin L. Cook', 'President Henry B. Eyring']
How I #HearHim: Elder Gerrit W. Gong,1,['Milton Camargo']
Doctrine and Covenants 122:7,2,['President Henry B. Eyring', 'Elder Gary E. Stevenson']
Exercise Faith in Christ,1,['Bishop W. Christopher Waddell']
